wikidata_scientist,wikidata_scientistWikipediaLink,wikidata_doctoralStudent,wikidata_doctoralStudentWikipediaLink,wikidata_fk,dbpedia_scientist,dbpedia_scientistLink,dbpedia_doctoralStudent,dbpedia_doctoralStudentLink,dbpedia_fk
http://www.wikidata.org/entity/Q4795229,/wiki/Arnold_Ross,http://www.wikidata.org/entity/Q102162121,/wiki/Margaret_Willerding,/wiki/Arnold_Ross/wiki/Margaret_Willerding,http://dbpedia.org/resource/Arnold_Ross,/wiki/Arnold_Ross,http://dbpedia.org/resource/Margaret_Willerding,/wiki/Margaret_Willerding,/wiki/Arnold_Ross/wiki/Margaret_Willerding
http://www.wikidata.org/entity/Q775128,/wiki/Aurel_Wintner,http://www.wikidata.org/entity/Q2086221,/wiki/Philip_Hartman,/wiki/Aurel_Wintner/wiki/Philip_Hartman,http://dbpedia.org/resource/Aurel_Wintner,/wiki/Aurel_Wintner,http://dbpedia.org/resource/Philip_Hartman,/wiki/Philip_Hartman,/wiki/Aurel_Wintner/wiki/Philip_Hartman
http://www.wikidata.org/entity/Q726692,/wiki/Bernard_Dwork,http://www.wikidata.org/entity/Q7606043,/wiki/Stefan_Burr,/wiki/Bernard_Dwork/wiki/Stefan_Burr,http://dbpedia.org/resource/Bernard_Dwork,/wiki/Bernard_Dwork,http://dbpedia.org/resource/Stefan_Burr,/wiki/Stefan_Burr,/wiki/Bernard_Dwork/wiki/Stefan_Burr
http://www.wikidata.org/entity/Q68824286,/wiki/Dipak_K._Dey,http://www.wikidata.org/entity/Q42739820,/wiki/Rongwei_Fu,/wiki/Dipak_K._Dey/wiki/Rongwei_Fu,http://dbpedia.org/resource/Dipak_K._Dey,/wiki/Dipak_K._Dey,http://dbpedia.org/resource/Rongwei_Fu,/wiki/Rongwei_Fu,/wiki/Dipak_K._Dey/wiki/Rongwei_Fu
http://www.wikidata.org/entity/Q57283,/wiki/Emil_Artin,http://www.wikidata.org/entity/Q371948,/wiki/Serge_Lang,/wiki/Emil_Artin/wiki/Serge_Lang,http://dbpedia.org/resource/Emil_Artin,/wiki/Emil_Artin,http://dbpedia.org/resource/Serge_Lang,/wiki/Serge_Lang,/wiki/Emil_Artin/wiki/Serge_Lang
http://www.wikidata.org/entity/Q1509195,/wiki/Georgiy_Shilov,http://www.wikidata.org/entity/Q18786219,/wiki/Gregory_Eskin,/wiki/Georgiy_Shilov/wiki/Gregory_Eskin,http://dbpedia.org/resource/Georgiy_Shilov,/wiki/Georgiy_Shilov,http://dbpedia.org/resource/Gregory_Eskin,/wiki/Gregory_Eskin,/wiki/Georgiy_Shilov/wiki/Gregory_Eskin
http://www.wikidata.org/entity/Q931195,/wiki/Jean-Louis_Verdier,http://www.wikidata.org/entity/Q4705670,/wiki/Alain_Lascoux,/wiki/Jean-Louis_Verdier/wiki/Alain_Lascoux,http://dbpedia.org/resource/Jean-Louis_Verdier,/wiki/Jean-Louis_Verdier,http://dbpedia.org/resource/Alain_Lascoux,/wiki/Alain_Lascoux,/wiki/Jean-Louis_Verdier/wiki/Alain_Lascoux
http://www.wikidata.org/entity/Q725836,/wiki/M._J._Seaton,http://www.wikidata.org/entity/Q535733,/wiki/Paul_Davies,/wiki/M._J._Seaton/wiki/Paul_Davies,http://dbpedia.org/resource/M._J._Seaton,/wiki/M._J._Seaton,http://dbpedia.org/resource/Paul_Davies,/wiki/Paul_Davies,/wiki/M._J._Seaton/wiki/Paul_Davies
http://www.wikidata.org/entity/Q208356,/wiki/Michael_Atiyah,http://www.wikidata.org/entity/Q6323298,/wiki/K._David_Elworthy,/wiki/Michael_Atiyah/wiki/K._David_Elworthy,http://dbpedia.org/resource/Michael_Atiyah,/wiki/Michael_Atiyah,http://dbpedia.org/resource/K._David_Elworthy,/wiki/K._David_Elworthy,/wiki/Michael_Atiyah/wiki/K._David_Elworthy
http://www.wikidata.org/entity/Q1534144,/wiki/Roger_Adams,http://www.wikidata.org/entity/Q333724,/wiki/Wallace_Carothers,/wiki/Roger_Adams/wiki/Wallace_Carothers,http://dbpedia.org/resource/Roger_Adams,/wiki/Roger_Adams,http://dbpedia.org/resource/Wallace_Carothers,/wiki/Wallace_Carothers,/wiki/Roger_Adams/wiki/Wallace_Carothers
